央视地方,#genre#
CCTV15,http://cdn.u55u.cn/migu.php?id=cctv15
CCTV17,http://cdn.u55u.cn/migu.php?id=cctv17
CCTV1,http://120.7.86.39:808/hls/1/index.m3u8
CCTV2,http://120.7.86.39:808/hls/2/index.m3u8
CCTV3,http://120.7.86.39:808/hls/3/index.m3u8
CCTV4,http://120.7.86.39:808/hls/4/index.m3u8
CCTV5,http://120.7.86.39:808/hls/5/index.m3u8
CCTV5+,http://120.7.86.39:808/hls/16/index.m3u8
CCTV6,http://120.7.86.39:808/hls/6/index.m3u8
CCTV7,http://120.7.86.39:808/hls/7/index.m3u8
CCTV8,http://120.7.86.39:808/hls/8/index.m3u8
CCTV9,http://120.7.86.39:808/hls/9/index.m3u8
CCTV10,http://120.7.86.39:808/hls/10/index.m3u8
CCTV11,http://120.7.86.39:808/hls/11/index.m3u8
CCTV12,http://120.7.86.39:808/hls/12/index.m3u8
CCTV13,http://120.7.86.39:808/hls/13/index.m3u8
CCTV14,http://120.7.86.39:808/hls/14/index.m3u8
CCTV15,http://120.7.86.39:808/hls/15/index.m3u8
CCTV1,http://110.7.128.210:8096/tsfile/live/0001_1.m3u8
CCTV2,http://110.7.128.210:8096/tsfile/live/0002_1.m3u8
CCTV3,http://110.7.128.210:8096/tsfile/live/0003_1.m3u8
CCTV4,http://110.7.128.210:8096/tsfile/live/0004_1.m3u8
CCTV5,http://110.7.128.210:8096/tsfile/live/0005_1.m3u8
CCTV6,http://110.7.128.210:8096/tsfile/live/0006_1.m3u8
CCTV7,http://110.7.128.210:8096/tsfile/live/0007_1.m3u8
CCTV8,http://110.7.128.210:8096/tsfile/live/0008_1.m3u8
CCTV9,http://110.7.128.210:8096/tsfile/live/0009_1.m3u8
CCTV10,http://110.7.128.210:8096/tsfile/live/0010_1.m3u8
CCTV11,http://110.7.128.210:8096/tsfile/live/0011_1.m3u8
CCTV12,http://110.7.128.210:8096/tsfile/live/0012_1.m3u8
CCTV13,http://110.7.128.210:8096/tsfile/live/0013_1.m3u8
CCTV14,http://110.7.128.210:8096/tsfile/live/0014_1.m3u8
CCTV15,http://110.7.128.210:8096/tsfile/live/0014_2.m3u8
CCTV1,http://112.123.155.153:9901/tsfile/live/0001_1.m3u8
CCTV2,http://112.123.155.153:9901/tsfile/live/0002_1.m3u8
CCTV3,http://112.123.155.153:9901/tsfile/live/0003_1.m3u8
CCTV6,http://112.123.155.153:9901/tsfile/live/0006_1.m3u8
CCTV7,http://112.123.155.153:9901/tsfile/live/0007_1.m3u8
CCTV8,http://112.123.155.153:9901/tsfile/live/0008_1.m3u8
CCTV10,http://112.123.155.153:9901/tsfile/live/0010_1.m3u8
CCTV12,http://112.123.155.153:9901/tsfile/live/0012_1.m3u8
CCTV13,http://112.123.155.153:9901/tsfile/live/0013_1.m3u8
CCTV14,http://112.123.155.153:9901/tsfile/live/0014_1.m3u8
CCTV1,http://111.160.17.2:59901/tsfile/live/0001_1.m3u8
CCTV2,http://111.160.17.2:59901/tsfile/live/0002_1.m3u8
CCTV3,http://111.160.17.2:59901/tsfile/live/0003_1.m3u8
CCTV4,http://111.160.17.2:59901/tsfile/live/1000_1.m3u8
CCTV5,http://111.160.17.2:59901/tsfile/live/1002_1.m3u8
CCTV5+,http://111.160.17.2:59901/tsfile/live/0016_1.m3u8
CCTV6,http://111.160.17.2:59901/tsfile/live/0006_1.m3u8
CCTV7,http://111.160.17.2:59901/tsfile/live/0007_1.m3u8
CCTV8,http://111.160.17.2:59901/tsfile/live/0008_1.m3u8
CCTV9,http://111.160.17.2:59901/tsfile/live/0009_1.m3u8
CCTV10,http://111.160.17.2:59901/tsfile/live/0010_1.m3u8
CCTV11,http://111.160.17.2:59901/tsfile/live/0011_1.m3u8
CCTV12,http://111.160.17.2:59901/tsfile/live/0012_1.m3u8
CCTV13,http://111.160.17.2:59901/tsfile/live/0013_1.m3u8
CCTV14,http://111.160.17.2:59901/tsfile/live/0014_1.m3u8
CCTV15,http://111.160.17.2:59901/tsfile/live/0015_1.m3u8
CCTV17,http://111.160.17.2:59901/tsfile/live/0019_1.m3u8


CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV1,http://193.lijinhui.asia:8888/rtp/239.254.97.96:8550
CCTV1,http://ottrrs.hl.chinamobile.com/TVOD/88888888/224/3221226016/index.m3u8
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5,http://193.lijinhui.asia:8888/udp/239.69.1.123:10376
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CCTV2,http://liveop.cctv.cn/hls/CCTV28bee868714f04ea2af79947bb9b46fc3H/playlist.m3u8
CCTV16,hhttp://183.204.13.13/1.v.smtcdns.net/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575402.m3u8
CCTV4K,http://8.146.199.204:886/2024/ysp.php?id=cctv4k
CCTV8K,http://8.146.199.204:886/2024/ysp.php?id=cctv8k
CCTV1,http://8.146.199.204:886/2024/ysp.php?id=cctv1
CCTV2,http://8.146.199.204:886/2024/ysp.php?id=cctv2
CCTV3,http://8.146.199.204:886/2024/ysp.php?id=cctv3
CCTV4,http://8.146.199.204:886/2024/ysp.php?id=cctv4
CCTV5,http://8.146.199.204:886/2024/ysp.php?id=cctv5
CCTV5+,http://8.146.199.204:886/2024/ysp.php?id=cctv5p
CCTV6,http://8.146.199.204:886/2024/ysp.php?id=cctv6
CCTV6,http://8.146.199.204:886/2024/ysp.php?id=cctv6hd
CCTV7,http://8.146.199.204:886/2024/ysp.php?id=cctv7
CCTV8,http://8.146.199.204:886/2024/ysp.php?id=cctv8
CCTV9,http://8.146.199.204:886/2024/ysp.php?id=cctv9
CCTV10,http://8.146.199.204:886/2024/ysp.php?id=cctv10
CCTV11,http://8.146.199.204:886/2024/ysp.php?id=cctv11
CCTV12,http://8.146.199.204:886/2024/ysp.php?id=cctv12
CCTV13,http://8.146.199.204:886/2024/ysp.php?id=cctv13
CCTV14,http://8.146.199.204:886/2024/ysp.php?id=cctv14
CCTV15,http://8.146.199.204:886/2024/ysp.php?id=cctv15
CCTV16,http://8.146.199.204:886/2024/ysp.php?id=cctv16
CCTV16-4k,http://8.146.199.204:886/2024/ysp.php?id=cctv16-4k
